data_path,info_path,classifier,accuracy
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,linear_svm,0.5860207296250871
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,rbf_svm,0.575992593126999
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,gausian_process,0.5780006252555131
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,decision_tree,0.5859606089026766
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,random_forest,0.5980088016737609
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,mlp,0.5879205444532621
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,ada_boost,0.5899526248707404
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,naive_bayes,0.46401173556501457
data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_dataset/tables/learningData.csv,data/LL0/LL0_1470_dresses_sales/LL0_1470_dresses_sales_problem/problemDoc.json,qda,0.5659644566289108
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,knn,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,linear_svm,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,rbf_svm,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,gausian_process,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,decision_tree,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,random_forest,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,mlp,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,ada_boost,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,naive_bayes,ERROR
data/LL0/LL0_216_elevators/LL0_216_elevators_dataset/tables/learningData.csv,data/LL0/LL0_216_elevators/LL0_216_elevators_problem/problemDoc.json,qda,ERROR
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,knn,0.9002152553103505
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,linear_svm,0.9063584790585115
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,rbf_svm,0.9088265161236099
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,decision_tree,0.8971104820210436
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,random_forest,0.902671839982176
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,mlp,0.9113094034060142
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,ada_boost,0.7206704566172775
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,naive_bayes,0.9026889554155045
data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_dataset/tables/learningData.csv,data/LL0/LL0_1528_volcanoes_a2/LL0_1528_volcanoes_a2_problem/problemDoc.json,qda,0.9032936838846916
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,knn,0.9187715665976536
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,linear_svm,0.6411318150448585
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,rbf_svm,0.870600414078675
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,gausian_process,0.9235334713595584
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,decision_tree,0.8661145617667357
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,random_forest,0.904071773636991
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,mlp,0.8611456176673569
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,ada_boost,0.8993098688750862
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,naive_bayes,0.8755693581780538
data/LL0/LL0_481_biomed/LL0_481_biomed_dataset/tables/learningData.csv,data/LL0/LL0_481_biomed/LL0_481_biomed_problem/problemDoc.json,qda,0.8995859213250518
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,knn,0.9708382144711255
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,linear_svm,0.9671271442713705
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,rbf_svm,0.9700437231698915
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,decision_tree,0.9758724542406366
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,random_forest,0.9671271442713705
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,mlp,0.9671271442713705
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,ada_boost,0.9684530515123312
data/LL0/LL0_40708_allrep/LL0_40708_allrep_dataset/tables/learningData.csv,data/LL0/LL0_40708_allrep/LL0_40708_allrep_problem/problemDoc.json,naive_bayes,0.4564942340710229
